,name,u,v
488,West 43rd Street,261213410,261199259
489,South Spaulding Avenue,261213410,261213411
490,West 44th Street,261213411,261302411
491,South Spaulding Avenue,261213411,418472336
492,South Rockwell Street,261213563,261154090
493,West 36th Place,261213563,261213564
494,South Rockwell Street,261213563,261349991
495,South Washtenaw Avenue,261213564,261271624
496,West 36th Place,261213564,261142047
497,West 36th Place,261213564,261213563
498,South Washtenaw Avenue,261213564,261154091
499,South Sacramento Avenue,261213565,5197166012
500,West 36th Place,261213565,261213566
501,West 36th Place,261213565,261164013
502,South Albany Avenue,261213566,261340477
503,West 36th Place,261213566,261132006
504,South Albany Avenue,261213566,261154075
505,West 36th Place,261213566,261213565
506,South Artesian Avenue,261222149,261163825
507,West 40th Street,261222149,261201104
508,West 40th Street,261222149,261295797
509,West Pope John Paul II Drive,261222150,261201105
510,South Artesian Avenue,261222150,261222151
511,West 44th Street,261222151,261201106
512,West 44th Street,261222151,261295801
513,South Artesian Avenue,261222151,261222152
514,West 45th Street,261222152,261223144
515,West 45th Street,261223143,261223144
516,South Western Boulevard,261223143,418457240
517,South Western Boulevard,261223143,261318340
518,South Western Avenue,261223144,261295801
519,South Western Avenue,261223144,261295803
520,West 45th Street,261223144,261223143
521,West 45th Street,261223145,261201107
522,West 45th Street,261223146,261223145
523,South Rockwell Street,261223146,261308998
524,West 45th Street,261223146,261162581
525,South Rockwell Street,261223146,261356254
526,South Washtenaw Avenue,261223147,261271695
527,West 45th Street,261223147,261162581
528,West 45th Street,261223147,261223148
529,South Fairfield Avenue,261223148,261309000
530,West 45th Street,261223148,261223147
531,West 45th Street,261223148,261142062
532,South Mozart Street,261223149,261259827
533,West 45th Street,261223149,261142062
534,West 45th Street,261223149,261163990
535,South Sacramento Avenue,261223150,261272707
536,South Sacramento Avenue,261223150,261309002
537,West 45th Street,261223150,261179910
538,West 45th Street,261223150,261194742
539,South Albany Avenue,261223151,261309004
540,West 45th Street,261223151,261194742
541,West 45th Street,261223151,261223152
542,South Troy Street,261223152,261231189
543,West 45th Street,261223152,261223151
544,West 45th Street,261223152,261131958
545,South Troy Street,261231187,261223152
546,West 44th Street,261231187,261131959
547,West 44th Street,261231187,261309004
548,South Troy Street,261231189,418461003
549,West 46th Street,261231189,261131955
550,West 46th Street,261231189,261272708
551,South Christiana Avenue,261249385,261302316
552,West 48th Place,261249385,261116691
553,West 48th Place,261249385,261131951
554,South Christiana Avenue,261249385,386424574
555,West 48th Place,261249391,261116691
556,South Rockwell Street,261256913,261339434
557,West 39th Place,261256913,261162575
558,South Rockwell Street,261256913,261193994
559,West 39th Place,261256915,261164017
560,South Sacramento Avenue,261256915,261313930
561,South Sacramento Avenue,261256915,261193999
562,West 39th Place,261256915,261256916
563,South Albany Avenue,261256916,261194001
564,West 39th Place,261256916,261131987
565,South Mozart Street,261259823,261259825
566,West Pope John Paul II Drive,261259823,261163988
567,South Mozart Street,261259825,261223149
568,West 44th Street,261259825,261163989
569,West 44th Street,261259825,261142061
570,South Mozart Street,261259827,256180896
571,West 46th Street,261259827,261163991
572,West 46th Street,261259827,261142063
573,South Mozart Street,261259857,261170352
574,West 36th Street,261259857,261142046
575,South Washtenaw Avenue,261271623,261271624
576,South Washtenaw Avenue,261271623,261170350
577,West 35th Place,261271623,261142045
578,West 35th Place,261271623,261293039
579,South Washtenaw Avenue,261271624,261213564
580,South Washtenaw Avenue,261271624,261271623
581,West 36th Street,261271624,261349991
582,West 36th Street,261271624,261142046
583,South Washtenaw Avenue,261271627,261193998
584,West 38th Place,261271627,261142052
585,West Pope John Paul II Drive,261271693,261336593
586,South Washtenaw Avenue,261271693,261271694
587,South Washtenaw Avenue,261271694,261223147
588,West 44th Street,261271694,261309000
589,West 44th Street,261271694,261162580
590,South Washtenaw Avenue,261271695,418458562
591,West 46th Street,261271695,261272706
592,West 46th Street,261271695,261162582
593,South Western Avenue,261272702,261148326
594,South Western Avenue,261272702,261295803
595,South Rockwell Street,261272704,261148327
596,West 46th Street,261272704,261272702
597,West 46th Street,261272704,261162582
598,South Rockwell Street,261272704,261356254
599,South Fairfield Avenue,261272706,261223148
600,West 46th Street,261272706,261142063
601,West 46th Street,261272706,261271695
602,South Sacramento Avenue,261272707,261223150
603,West 46th Street,261272707,261179911
604,West 46th Street,261272707,261194743
605,South Sacramento Avenue,261272707,418460536
606,South Albany Avenue,261272708,261223151
607,West 46th Street,261272708,261231189
608,West 46th Street,261272708,261194743
609,South Christiana Avenue,261272709,418462816
610,West 46th Street,261272709,261169909
611,West 46th Street,261272709,261213374
612,South Albany Avenue,261284673,261163821
613,"['West 42nd Place', 'South Albany Avenue']",261284673,418465903
614,South Western Boulevard,261284674,261163822
615,South Western Boulevard,261284674,261318340
616,South Rockwell Street,261293039,261349991
617,South Rockwell Street,261293039,261170349
618,West 35th Place,261293039,261271623
619,West 40th Street,261295797,261222149
620,South Western Avenue,261295797,261193986
621,South Western Avenue,261295797,261163824
622,West 43rd Street,261295799,261318340
623,West Pope John Paul II Drive,261295799,261222150
624,South Western Avenue,261295799,261163824
625,South Western Avenue,261295799,261295801
626,West 44th Street,261295801,261222151
627,South Western Avenue,261295801,261295799
628,South Western Avenue,261295801,261223144
629,West 45th Place,261295803,261356254
630,South Western Avenue,261295803,261223144
631,South Western Avenue,261295803,261272702
632,West 47th Place,261295805,261201158
633,South Western Avenue,261295805,418457154
634,South Western Avenue,261295805,261135283
635,South Sacramento Avenue,261297090,261167116
636,South Sacramento Avenue,261297090,261202670
637,South Albany Avenue,261297091,261202671
638,West 41st Street,261297091,261297090
639,South Rockwell Street,261301731,261163828
640,South Rockwell Street,261301731,261202672
641,"['South Montgomery Avenue', 'West Montgomery Avenue']",261301731,418468129
642,South Christiana Avenue,261302316,261249385
643,South Christiana Avenue,261302316,418461786
644,West 47th Place,261302316,261116689
645,West 47th Place,261302316,4606276639
646,West 43rd Street,261302410,261170061
647,West 43rd Street,261302410,261213410
648,South Christiana Avenue,261302411,261302410
649,West 44th Street,261302411,261170062
650,West 44th Street,261302411,261213411
651,West 44th Street,261308995,261308998
652,West 44th Street,261308995,261201106
653,South Maplewood Avenue,261308995,261223145
654,West 44th Street,261308998,261162580
655,West 44th Street,261308998,261308995
656,South Rockwell Street,261308998,261223146
657,South Rockwell Street,261308998,261336591
658,West 44th Street,261309000,261142061
659,West 44th Street,261309000,261271694
660,South Fairfield Avenue,261309000,261336593
661,South Sacramento Avenue,261309002,261223150
662,West 44th Street,261309002,261179909
663,West 44th Street,261309002,261194741
664,South Albany Avenue,261309004,261336595
665,West 44th Street,261309004,261231187
666,West 44th Street,261309004,261194741
667,West 38th Place,261313928,261335643
668,South Sacramento Avenue,261313928,261204050
669,South Sacramento Avenue,261313928,261193999
670,West 40th Street,261313930,261164018
671,South Sacramento Avenue,261313930,261202670
672,South Sacramento Avenue,261313930,261256915
673,West Pope John Paul II Drive,261313934,261194740
674,South Sacramento Avenue,261313934,261309002
675,West 43rd Street,261318340,261295799
676,South Western Boulevard,261318340,261223143
677,South Western Boulevard,261318340,261284674
678,West 47th Place,261329716,261116689
679,South Albany Avenue,261335643,261204052
680,West 38th Place,261335643,261132000
681,West 38th Place,261335645,261116700
682,South Maplewood Avenue,261336589,261308995
683,West Pope John Paul II Drive,261336589,261336591
