,name,u,v
851,South Archer Avenue,418468961,418469311
852,South Campbell Avenue,418469311,261201101
853,South Archer Avenue,418469311,418469871
854,South Campbell Avenue,418469311,261193993
855,South Archer Avenue,418469311,418468961
856,South Artesian Avenue,418469506,6823889649
857,South Archer Avenue,418469506,418469871
858,West 38th Street,418469871,261201101
859,South Archer Avenue,418469871,418469311
860,South Archer Avenue,418469871,418469506
861,South California Avenue,418471135,261142056
862,South California Avenue,418471135,261142058
863,South Archer Avenue,418471135,418467541
864,South Archer Avenue,418471135,418468129
865,West 41st Street,418471596,261142058
866,South Archer Avenue,418472336,418463163
867,South Archer Avenue,418472336,418463071
868,South Campbell Avenue,537959777,261201101
869,South Homan Avenue,538475024,261154072
870,South Maplewood Avenue,705736864,261349989
871,West 47th Street,862969860,4972562894
872,South Drake Avenue,862969860,5485497449
873,West 47th Street,862969860,418455856
874,West 36th Street,1895426602,261132012
875,South Washtenaw Avenue,1895488628,261163829
876,South Saint Louis Avenue,2203298433,261116699
877,South Western Avenue,2293272240,261135283
878,"['West 42nd Street', 'West 41st Street', 'South Oakley Avenue']",2293275898,261163822
879,South Western Boulevard,2293275898,261163822
880,South Western Boulevard,2293275898,261193981
881,West 46th Street,2352761093,261199216
882,West Pershing Road,3200955979,261116701
883,West 38th Street,3270264066,261116699
884,South Rockwell Street,3903672039,261135280
885,South Archer Avenue,3952947160,5485497449
886,South Drake Avenue,3952947160,261198058
887,South Archer Avenue,3952947160,418462352
888,West 47th Place,4606276639,261302316
889,West 47th Place,4606276639,261131953
890,South Spaulding Avenue,4606276639,4606276640
891,West 47th Street,4606276640,418461413
892,West 47th Street,4606276640,256180897
893,South Spaulding Avenue,4606276640,4606276639
894,South Archer Avenue,4972562861,5485497449
895,West 47th Street,4972562894,862969860
896,,4972562894,4972562861
897,,5087655868,261110961
898,,5087655868,5087655869
899,South California Avenue,5087655869,261142044
900,South California Avenue,5087655869,261110961
901,South California Avenue,5087655873,261142044
902,West 35th Street,5087655873,261170352
903,South California Avenue,5087655873,261142045
904,South Sacramento Avenue,5197166012,261213565
905,South Archer Avenue,5485497436,418462816
906,South Archer Avenue,5485497436,418462697
907,South Archer Avenue,5485497449,3952947160
908,South Archer Avenue,5485497449,4972562861
909,South Drake Avenue,5485497449,862969860
910,South Archer Avenue,5485497464,418465903
911,South Archer Avenue,5485497464,418466663
912,South Whipple Street,5485497464,261194740
913,West Pershing Road,6823889649,261193991
914,South Artesian Avenue,6823889649,418469506
915,West Pershing Road,6823889649,261193986
916,South California Avenue,7625126088,261142054
917,South California Avenue,7625126088,261142053
918,West 39th Place,7625126088,261164017
