,y,x
537959777,41.8254932,-87.6873776
538475024,41.8260786,-87.709407
705736864,41.8268825,-87.6886244
705744054,41.832689,-87.6932454
862969860,41.8080308,-87.7123916
1895426602,41.8280847,-87.7049793
1895488628,41.8177804,-87.6920439
2203298433,41.8257379,-87.7117002
2293272240,41.8056807,-87.6843689
2293275898,41.8193435,-87.6841394
2352761093,41.8099453,-87.7046599
3200955979,41.8224694,-87.7138606
3270264066,41.8242089,-87.7139852
3903672039,41.8055802,-87.6892446
3952947160,41.809113,-87.712413
4606276639,41.8067876,-87.7063676
4606276640,41.8081093,-87.7064236
4972562861,41.8083119,-87.7137278
4972562894,41.8080135,-87.7137056
5087655868,41.8314093,-87.6952268
5087655869,41.8310518,-87.6948514
5087655873,41.8300805,-87.6948175
5197166012,41.8280005,-87.6996652
5485497436,41.8113612,-87.7087444
5485497449,41.8091036,-87.7124284
5485497464,41.8161909,-87.7008624
6823889649,41.8229581,-87.6860744
7625126088,41.8219121,-87.6946085
